,baseMean,log2FoldChange,lfcSE,pvalue,padj
NM_012737,2784.30065,-7.994702578,0.352391403,2.18E-114,2.40E-110
NM_133606,478814.4339,6.201908296,0.27460764,6.49E-114,3.57E-110
NM_024162,6423.23907,8.187977142,0.510462913,3.65E-59,1.34E-55
NM_012508,791.3472906,-4.807820147,0.305184712,5.22E-57,1.44E-53
NM_175837,120206.8374,4.970541284,0.33824689,5.11E-50,1.12E-46
NM_012575,435.0411309,7.445186412,0.521444372,8.43E-47,1.55E-43
NM_012598,4796.61937,4.310957039,0.306522596,3.56E-46,5.60E-43
NM_001040019,126374.335,6.737758316,0.504222557,5.84E-42,8.03E-39
NM_017158,3242.397875,-7.500898126,0.563211041,1.18E-41,1.44E-38
NM_057197,19994.04633,2.249804898,0.16956021,5.54E-41,6.09E-38
